Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
CPN 24/2019/DICP - T 71/2018 - EXECUÇÃO DE TRABALHOS PARA INSTALAÇÃO DE SISTEMAS DE SINALIZAÇÃO AUTOMÁTICA DE TRÂNSITO NA ESTRADA DOS MARINHEIROS;Concurso público;Empreitadas de obras públicas;"45233294-6, Instalação de sinalização rodoviária";Município de Leiria (505181266);"EYSSA TESIS - TECNOLOGIA DE SISTEMAS ELETRONICOS, S.A. (500423644)";"18.753,33 €";07-06-2019;29-05-2019;90 dias;"Portugal, Leiria, Leiria";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP n.º 192A000003 - ""Aquisição de consumíveis p/ alimentação entérica, durante o ano de 2019"".";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";PMH (502376899);"10.000,00 €";07-06-2019;31-05-2019;214 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP n.º 192A000004 - ""Aquisição de campos operatórios e trouxas cirúrgicas universais durante o ano de 2019"".";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";"BASTOS VIEGAS,SA (500042772)";"86.806,08 €";07-06-2019;28-05-2019;217 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP n.º 192A000006 - Aquisição de consumíveis para citotóxicos e fármacos, durante o ano de 2019.";Concurso público;Aquisição de bens móveis;"33190000-8, Dispositivos e produtos médicos variados";"Centro Hospitalar Universitário de Lisboa Norte, E. P. E. (508481287)";PMH (502376899);"28.157,20 €";07-06-2019;29-05-2019;216 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CONTRATAÇÃO DA AQUISIÇÃO DE MATERIAIS (PEÇAS E ACESSÓRIOS) E PRESTAÇÃO DE SERVIÇOS DE REPARAÇÃO DE VEÍCULOS PROPRIEDADE DA CÂMARA MUNICIPAL DE LOULÉ.;Concurso público;Aquisição de serviços;"50110000-9, Serviços de reparação e manutenção de veículos e equipamento afim";MUNICÍPIO DE LOULÉ (502098139);"HYDRAPLAN- MANUTENÇÃO E COMÉRCIO DE VEÍCULOS, S.A. (507448979)";"155.000,00 €";07-06-2019;21-09-2018;467 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público para Aquisição de Leitores Ópticos para várias Entidades do Sistema Nacional de Saúde;Concurso público;Aquisição de bens móveis;"30200000-1, Equipamento e material informático";"Centro Hospitalar São João, EPE (509821197)";"Exitus, Soluções Tecnológicas, Lda. (509117660)";"1.149,90 €";07-06-2019;24-04-2019;15 dias;"Portugal, Porto, Porto";"Artigo 21.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
14800039-Esterilizador baixa temperatura/1 a vapor;Concurso público;Aquisição de bens móveis;"33191100-6, Esterilizador";"Centro Hospitalar de Lisboa Ocidental, EPE (CHLO) (507618319)";"Prohs-Equip. Hospitalar e Serviços Associados, SA (505005468)";"32.419,00 €";07-06-2019;21-02-2019;30 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Contratação da prestação de serviços contínuo de serviços de chapa e pintura;Concurso público;Aquisição de serviços;"50110000-9, Serviços de reparação e manutenção de veículos e equipamento afim";Município de Loulé (502098139);"OLPE - CENTRO DE REPARAÇÃO DE VEÍCULOS PESADOS, LDA. (505116995)";"150.000,00 €";07-06-2019;30-07-2018;883 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"O presente contrato tem como objeto a realização de trabalhos de caixilharias, caixas de estores, móveis de cozinha, torneiras de cozinha e casa de banho, portas interiores e exteriores, roupeiros, pavimentos, pinturas de tetos e paredes, impermeabilizações, eletricidade, instalações de águas, esgotos e gás em fogos e edifícios municipais.";Concurso público;Empreitadas de obras públicas;"45453000-7, Obras de revisão e recuperação";Município da Amadora (505456010);"Tempo Analógico, Lda (507909070)";"45.931,60 €";07-06-2019;05-06-2019;210 dias;"Portugal, Lisboa";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CONCURSO PÚBLICO COM PUBLICAÇÃO NO JOUE PARA A CELEBRAÇÃO DE ACORDO QUADRO PARA A  PRESTAÇÃO DE SERVIÇOS DE SITES, AUDIOVISUAIS, PRODUÇÃO E DESIGN GRÁFICO NA ÁREA DA SAÚDE";Concurso público;Aquisição de serviços;"92111200-4, Produção de filmes e videocassetes para publicidade, propaganda e informação";"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)";"Ydeal.net Software, Lda. (509251439), Smartgeo, Solutions, Lda. (510465978), GMVIS Skysoft, S.A. (504076418), Sonoroplauso, Lda. (510322336), Purpuramatik, Lda. (513307206), Ancestra, Indústria Gráfica, Lda. (504615416), Zebra Caprichosa, Lda (513632301), 2B ON (513438203), CGITI PORTUGAL, S.A. (502605731), Monsters and Company - Soluções de Comunicação, Lda (507491076), Prológica - Sistemas Informáticos, SA (501432507), GFI Portugal - Tecnologias de Informação, S.A.  (502726890), AltranPortugal, S.A. (504272179), Glintt - Healthcare Solutions, S.A. (502479418), Connect Lda. (507574435), Marketividade - Marketing, Comunicação e Vendas, Lda. (504719300), Care4IT - Consultoria em Tecnologias de Informação, Lda. (505959224), Plot & Print - Publicidade e Design, Lda (506090574), CAPGEMINI PORTUGAL - Serviços de Consultoria e Informática, S.A. (502829257), Gugga Lda (513084614), ITEN Solutions – Sistemas de Informação, S.A. (510728189), Vírgulas e Legendas, Produção de Conteúdos Digitais Lda (513449868), COMPTA – INFRA-ESTRUTURAS e SEGURANÇA, S.A (508348773), MEO - SERVIÇO DE COMUNICAÇÕES E MULTIMÉDIA, S.A. (504615947), MEDIANA-SOC.GESTORA DE IMAGEM E COMUNICAÇÃO,LDA (502549033), Impactwave Lda. (509338275)";"0,00 €";07-06-2019;20-12-2017;730 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;2793806;"CONCURSO PÚBLICO COM PUBLICAÇÃO NO JOUE PARA A CELEBRAÇÃO DE ACORDO QUADRO PARA A  PRESTAÇÃO DE SERVIÇOS DE SITES, AUDIOVISUAIS, PRODUÇÃO E DESIGN GRÁFICO NA ÁREA DA SAÚDE";false
"Contratação do fornecimento contínuo de madeira, para o período de 2 anos";Concurso público;Aquisição de bens móveis;"44110000-4, Materiais de construção";Município de Loulé (502098139);SILMADEIRAS – COMÉRCIO DE MADEIRAS LIMITADA  (503318167);"81.067,10 €";07-06-2019;11-07-2018;730 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de géneros alimentares ;Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"Panisol - Comércio e Industria de Panaficação, S.A. (503747297)";"13.811,67 €";07-06-2019;23-04-2018;253 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição  continuada  de bens de consumo alimentar, por lotes.";Concurso público;Aquisição de bens móveis;"15800000-6, Produtos alimentares diversos";Câmara Municipal de Loures (501294996);"Pac & Bom - Comércio e Serviços, Lda. (503554049)";"534.662,57 €";07-06-2019;23-11-2018;1095 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
Reagentes para coagulação;Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Hospital Distrital da Figueira da Foz, E. P. E. (506361527)";Werfen (501086110);"35.100,00 €";07-06-2019;22-05-2019;275 dias;"Portugal, Coimbra, Figueira da Foz";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de serviços de consultadoria de apoio remoto e de apoio no posto de trabalho ao software ERP Primavera Public Sector;Concurso público;Aquisição de serviços;"72600000-6, Serviços de consultoria e assistência informáticas<BR/>79412000-5, Serviços de consultoria em matéria de gestão financeira";Universidade dos Açores (512017050);SNN - Serviços de Gestão Aplicada (505322684);"100.350,00 €";07-06-2019;25-10-2018;880 dias;"Portugal, Região Autónoma dos Açores, Ponta Delgada";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;Em Rectificação;Não aplicável.;Não aplicável.;true
CONTRATAÇÃO DE SERVIÇOS DE TRANSPORTES OCASIONAIS DE PASSAGEIROS (ALUGUER DE VIATURAS PESADAS DE PASSAGEIROS COM MOTORISTA).;Concurso público;Aquisição de serviços;"60130000-8, Serviços de transporte rodoviário de passageiros com finalidade específica";Município de Loulé (502098139);"EVA TRANSPORTES, S.A.  (502536071)";"120.000,00 €";07-06-2019;23-03-2018;649 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fabrico e fornecimento de caixas, de 30 litros, em polietileno de alta densidade";Concurso público;Locação de bens móveis;"19520000-7, Produtos de plástico";DOCAPESCA - Portos e Lotas SA. (500086826);"BAQUELITE LIZ, S.A (500040990)";"197.266,40 €";07-06-2019;28-05-2019;184 dias;"Portugal, Setúbal, Almada<BR/>Portugal, Beja, Odemira<BR/>Portugal, Beja, Odemira<BR/>Portugal, Setúbal, Sesimbra<BR/>Portugal, Faro, Loulé<BR/>Portugal, Braga, Esposende<BR/>Portugal, Setúbal, Sines<BR/>Portugal, Setúbal, Setúbal<BR/>Portugal, Faro, Portimão<BR/>Portugal, Lisboa, Oeiras<BR/>Portugal, Faro, Vila do Bispo<BR/>Portugal, Lisboa, Vila Franca de Xira<BR/>Portugal, Porto, Póvoa de Varzim<BR/>Portugal, Faro, Vila Real Sto Antonio<BR/>Portugal, Viana do Castelo, Viana do Castelo<BR/>Portugal, Viana do Castelo, Viana do Castelo";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de géneros alimentares ;Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"Pires, Santos & Escaria, Lda. (500692360)";"78.364,51 €";07-06-2019;23-04-2018;253 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Pavimentações na Área de Concessão das Aguas do Tejo Atlântico;Concurso público;Empreitadas de obras públicas;"45233220-7, Pavimentação de estradas";"Águas do Tejo Atlântico, SA (514387130)";"SANESTRADAS - EMPREITADAS DE OBRAS PÚBLICAS E PARTICULARES, S.A. (500120501)";"269.000,00 €";07-06-2019;11-12-2018;730 dias;"Portugal, Lisboa<BR/>Portugal, Santarém, Rio Maior<BR/>Portugal, Santarém, Torres Novas<BR/>Portugal, Leiria";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de géneros alimentares ;Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"Pac & Bom - Comércio e Serviços, Lda. (503554049)";"205.090,74 €";07-06-2019;23-04-2018;253 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CT-2019/18004806/7/8/9/10/11/13/14/16/17/18/19 - Aquisição de serviços de aluguer máquinas e equipamentos - 2019;Concurso público;Aquisição de serviços;"77111000-1, Aluguer de máquinas agrícolas, com operador";Município de Sintra (500051062);"Freiplana, Lda. (503095559)";"7.000,00 €";07-06-2019;07-06-2019;365 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de géneros alimentares ;Concurso público;Aquisição de bens móveis;"15000000-8, Produtos alimentares, bebidas, tabaco e produtos afins";ESTADO-MAIOR-GENERAL DAS FORÇAS ARMADAS (600010180);"Rogério Rodrigues, Lda. (501321144)";"75.781,10 €";07-06-2019;23-04-2018;253 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Montagem e desmontagem de estaleiro; Demolição de pavimentos de passeio; Fresagem de camadas de pavimentos existentes, em misturas betuminosas; Pavimentação da faixa de rodagem com misturas betuminosas; Levantamento e reaplicação de pedras de chão em betão; Construção de fundação de lancis em betão; Fornecimento e colocação de lancis de granito; Execução de diversos trabalhos de sinalização rodoviária.";Concurso público;Empreitadas de obras públicas;"45233140-2, Obras em estradas";Município de Vila Nova de Gaia (505335018);"M. dos Santos & Cª, SA (500173532)";"163.127,80 €";07-06-2019;31-05-2019;90 dias;"Portugal, Porto, Vila Nova de Gaia<BR/>Portugal";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CONTRATAÇÃO DE SERVIÇOS DE MANUTENÇÃO DOS EQUIPAMENTOS MECÂNICOS E ELÉTRICOS E CONDUÇÃO TÉCNICA DA INSTALAÇÃO EM REGIME PRESENCIAL NO COMPLEXO DAS PISCINAS MUNICIPAIS DE QUARTEIRA.;Concurso público;Aquisição de serviços;"71350000-6, Serviços técnicos e científicos relacionados com a engenharia";Município de Loulé (502098139);"CISEC - SOLUÇÕES TÉCNICAS DE ENGENHARIA E SERVIÇOS, S.A.  (500205698)";"96.363,72 €";07-06-2019;28-03-2018;1095 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição  continuada  de bens de consumo alimentar, por lotes.";Concurso público;Aquisição de bens móveis;"15800000-6, Produtos alimentares diversos";Câmara Municipal de Loures (501294996);"Panificação Floresta da Póvoa, Lda (500210721)";"161.998,00 €";07-06-2019;22-11-2018;1095 dias;"Portugal, Lisboa, Loures";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
"Financiamento em sistema de Leasing para aquisição de viatura ligeira do tipo todo o terreno, com equipamento de limpeza e desobstrução de coletores";Concurso público;Aquisição de serviços;"66114000-2, Serviços de leasing financeiro";"Infraquinta - Empresa de Infraestruturas da Quinta do Lago, E. M. (503830704)";"CAIXA LEASING E FACTORING – SOCIEDADE FINANCEIRA DE CRÉDITO, SA. (504868713)";"91.614,76 €";07-06-2019;25-03-2019;1460 dias;"Portugal, Faro, Loulé";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
3019006186/3009/DMN - SUBSTITUIÇÃO DE VÃOS EXTERIORES DA CAPITANIA DO PORTO DO DOURO.;Concurso público;Empreitadas de obras públicas;"45421110-8, Instalação de caixilharia de portas e janelas";Marinha - Direção de Infraestruturas (600012662);"Ambienti D'Interni, Unipessoal, L.da (508369444)";"36.500,00 €";07-06-2019;30-05-2019;60 dias;"Portugal, Porto, Porto";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Contratação de um serviço de solução de gestão integral de contraordenações e cobranças;Concurso público;Aquisição de serviços;"64000000-6, Serviços postais e de telecomunicações";"Lagos em Forma - Gestão Desportiva, E. M., S. A. (507725077)";"CTT - Correios de Portugal, SA (500077568)";"220.000,00 €";07-06-2019;28-05-2019;1095 dias;"Portugal, Faro, Lagos";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Requalificação do Armazém Municipal;Concurso público;Empreitadas de obras públicas;"45213200-5, Construção de armazéns e de edifícios industriais";Município de Vila Nova de Foz Côa (506829197);EDIBEIRAS - Edificios e Obras Publicas das Beiras (508005833);"34.732,86 €";07-06-2019;07-06-2019;90 dias;"Portugal, Guarda, Vila Nova de Foz Coa";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
IPCB-2018CP007 Empreitada de melhoramento de eficiência energética em edifícios;Concurso público;Empreitadas de obras públicas;"45321000-3, Obras de isolamento térmico";Instituto Politécnico de Castelo Branco (504152980);"Ambienti D'Interni, Unipessoal, L.da (508369444)";"149.438,00 €";07-06-2019;20-05-2019;42 dias;"Portugal, Castelo Branco, Castelo Branco";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
